Game Name,Developer,Release year,Price,Genres,Review %,Max Reviewers,Minimum Owners,Maximum Owners
 NARAKA: BLADEPOINT,24 Entertainment,2021,13.99,"Action, Adventure, Massively Multiplayer",0.8,71178,5000000,10000000
 Boyfriend Dungeon,Kitfox Games,2021,19.99,"Indie, RPG, Simulation",0.9,924,20000,50000
 Quantum League,Nimble Giant Entertainment,2021,9.99,"Action, Indie, Sports, Strategy, in Early Access",0.8,1320,200000,500000
 Maneater,Tripwire Interactive,2021,39.99,"Action, Adventure, Indie, RPG, in Early Access",0.9,5686,200000,500000
 Gas Station Simulator,DRAGO entertainment,2021,19.99,"Indie, Simulation",0.87,8829,200000,500000
 New World,Amazon Games,2021,39.99,"Action, Adventure, Massively Multiplayer, RPG",0.69,180895,20000000,50000000
 Fire Tonight,Reptoid Games,2021,5.99,Indie,0.82,39,0,20000
 Garden Story,Picogram,2021,19.99,"Adventure, Indie, RPG",0.91,364,100000,200000
 Dice Legacy,DESTINYbit,2021,19.99,"Indie, Strategy, in Early Access",0.69,570,20000,50000
 Sword of the Necromancer,Grimorio of Games,2021,14.99,"Action, Adventure, Indie, RPG",0.76,146,0,20000
 The Invisible Hand,Power Struggle Games,2021,7.79,"Indie, Simulation, Strategy",0.79,194,0,20000
 Spacebase Startopia,Realmforge Studios,2021,39.99,"Simulation, Strategy",0.63,258,20000,50000
 Thunder Tier One,"KRAFTON, Inc.",2021,19.99,"Action, Simulation, in Early Access",0.84,2315,200000,500000
 Ink.,cpsoft,2021,10.99,"Action, Casual, Indie, Massively Multiplayer",0.0,,0,20000
 Pecaminosa - A Pixel Noir Game,Cereal Games,2021,14.99,"Action, Indie, RPG",0.45,11,0,20000
 Chronicle of Innsmouth: Mountains of Madness,PsychoDev,2021,19.99,Adventure,0.75,36,0,20000
 Recompile,Phigames,2021,19.99,"Action, Adventure, Indie",0.75,82,0,20000
 Clash of Chefs VR,Flat Hill Games,2021,19.99,"Casual, Indie, Simulation",0.79,84,0,20000
 Shattered - Tale of the Forgotten King,Redlock Studio,2021,17.99,"Action, Adventure, Indie, RPG, in Early Access",0.72,391,0,20000
 Nanotale - Typing Chronicles,Fishing Cactus,2021,19.99,"Adventure, RPG",0.8,412,20000,50000
 NERVE,Gunfish Games,2021,7.19,"Action, Indie, Racing",0.91,37,0,20000
 Disjunction,Ape Tribe Games,2021,15.99,"Action, Indie, RPG",0.84,76,50000,100000
 Tunche,LEAP Game Studios,2021,19.99,"Action, Adventure, Casual, Indie, RPG",0.83,323,0,20000
 Say No! More,Studio Fizbin,2021,8.99,"Casual, Indie",0.92,362,0,20000
 BIOMUTANT,Experiment 101,2021,59.99,"Action, RPG",0.68,10244,200000,500000
 RetroMania Wrestling,Retrosoft Studios,2021,29.99,"Action, Sports",0.85,166,0,20000
 Redout: Space Assault,34BigThings srl,2021,9.99,"Action, Casual, Indie, Simulation",0.4,61,0,20000
 Rustler (Grand Theft Horse),Jutsu Games,2021,14.99,"Action, Adventure, Indie, Racing, RPG, in Early Access",0.82,573,20000,50000
 Stronghold: Warlords,FireFly Studios,2021,39.99,"Simulation, Strategy",0.63,2396,100000,200000
 Retro Machina,Orbit Studio,2021,16.99,"Action, Adventure, Indie",0.89,92,20000,50000
 Totally Reliable Delivery Service,We're Five Games,2021,14.99,"Action, Adventure, Casual, Indie, Racing, Simulation",0.77,249,20000,50000
 INDUSTRIA,Bleakmill,2021,19.99,"Action, Adventure, Indie",0.78,597,50000,100000
 Lumberhill,"2BIGo, ARP Games",2021,9.89,"Action, Adventure, Casual, Indie, Simulation",0.78,90,50000,100000
 Hammerting,Warpzone Studios,2021,24.99,"Adventure, Indie, RPG, Simulation, Strategy",0.72,1087,100000,200000
 Prince of Qin,Object Software,2021,9.99,"Action, Adventure, RPG",0.93,31,0,20000
 To The Rescue!,Little Rock Games,2021,19.99,"Casual, Indie, Simulation",0.74,585,20000,50000
 Buildings Have Feelings Too!,Blackstaff Games,2021,19.99,"Indie, Simulation, Strategy",0.57,35,0,20000
 Eximius: Seize the Frontline,Ammobox Studios,2021,29.99,"Action, Strategy, in Early Access",0.77,386,50000,100000
 Shelter 3,Might and Delight,2021,14.99,"Adventure, Casual, Indie",0.54,219,0,20000
 Flow Weaver,"Stitch Media, Silverstring Media Inc.",2021,19.99,"Adventure, Indie",0.0,,0,20000
 异形杀手：初现 Alien Killer: Appearance,海马兄弟工作室 Hippocampus Brothers Studio,2021,,"Action, Adventure, Indie, RPG",0.0,0,0,20000
 Bikini Island Challenge,Instantiated Entertainment,2021,0.0,"Adventure, Free to Play, Indie, RPG, Early Access",0.24,50,0,20000
 College Kings - Act I,Undergrad Steve,2021,0.0,"Casual, Free to Play, Indie, in Early Access",0.93,5830,0,20000
 Lands Of Peace: Legends - Chapter 1,Steve Madison,2021,0.0,"Adventure, Free to Play, Indie, RPG, Simulation, in Early Access",0.33,80,0,20000
 Merge Nymphs,Fadorable Games LTD,2021,0.0,"Casual, Free to Play, Strategy",0.66,217,0,20000
 Rogue Card Playtest,,2021,,,0.0,0,0,20000
 NEX:OS Playtest,,2021,,,0.0,0,0,20000
 The Surfeit: Episode 1,WB Freeborn,2021,0.0,Indie,0.6,10,0,20000
 The Deep Deep Playtest,,2021,,,0.0,0,0,20000
 Oddinary Highway Playtest,,2021,,,0.0,0,0,20000
 Harvest Island Playtest,,2021,,,0.0,0,0,20000
 TopplePOP: Bungee Blockbusters Playtest,,2021,,,0.0,0,0,20000
 Xenonauts 2 Playtest,,2021,,,0.0,0,0,20000
 Prometheus Playtest,,2021,,,0.0,0,0,20000
 ALIVE,Open Door Games,2021,,"Adventure, Indie, Strategy",0.0,0,0,20000
 Lost Expeditions: Station One Playtest,,2021,,,0.0,0,0,20000
 OnlyCans: Thirst Date,OnlyCans Team,2021,0.0,"Free to Play, Indie, Simulation",0.96,1238,0,20000
 Guillotine The Necromorph Playtest,,2021,,,0.0,0,0,20000
 Sub Chase Online Playtest,,2021,,,0.0,0,0,20000
 Time to Morp Playtest,,2021,,,0.0,0,0,20000
 GALAHAD 3093 Playtest,,2021,,,0.0,0,0,20000
 Ash of Gods: The Way Playtest,,2021,,,0.0,0,0,20000
 Meor Playtest,,2021,,,0.0,0,0,20000
 Chernobyl Liquidators Simulator Playtest,,2021,,,0.0,0,0,20000
 Apocrypha Playtest,,2021,,,0.0,0,0,20000
 RAWMEN Playtest,,2021,,,0.0,0,0,20000
 Onsen Master Playtest,,2021,,,0.0,0,0,20000
 Disruption Playtest,,2021,,,0.0,0,0,20000
 From Rust Playtest,,2021,,,0.0,0,0,20000
 VAIL Alpha,,2021,,,0.0,0,0,20000
 Wigged Out Playtest,,2021,,,0.0,0,0,20000
 Tribble Troubles Playtest,,2021,,,0.0,0,0,20000
 WHALIEN Playtest,,2021,,,0.0,0,0,20000
 Army Ops Playtest,,2021,,,0.0,0,0,20000
 Retail Royale Playtest,,2021,,,0.0,0,0,20000
 Traverse The Void Playtest,,2021,,,0.0,0,0,20000
 Horns of Justice Playtest,,2021,,,0.0,0,0,20000
 Mirastell,Julius Condemi,2021,0.0,"Action, Adventure, Indie, RPG, Strategy",0.0,,0,20000
 Utopia Process,Josiah Tull,2021,0.0,Action,0.0,,0,20000
 Mythic Prelude - Concept Demo,Dmitri Lowell,2021,0.0,"Action, Adventure, Indie",0.0,,0,20000
 Show me VR,SHOWMEVR,2021,0.0,"Education, Utilities",0.0,,0,20000
 Galaxy V,Everett Barrus,2021,,"Adventure, Strategy",0.0,,0,20000
 王国的魔法战争,武汉幻狮科技有限公司,2021,,"Adventure, Indie, Strategy",0.0,,0,20000
 Zero-G Revolution,YZPocket,2021,0.0,"Adventure, Casual, Free to Play, Indie, Simulation",0.0,,0,20000
 Wargs,Hoopoe,2021,0.0,Indie,0.0,,0,20000
 Spectrum,Liam Mullins,2021,3.39,"Casual, Indie",0.0,,0,20000
 Dominate Square,justblack,2021,0.0,"Indie, Simulation",0.0,,20000,50000
 VR Library: Beyond Reading,Looksten Inc.,2021,0.0,"Education, Utilities",0.0,,0,20000
 Star Squadron: Student Driver,Mark Arenz,2021,0.0,"Action, Indie",0.0,,0,20000
 Escape of Pinball,Woodlouse GameStudio.,2021,,Action,0.0,,0,20000
 Wayports,"Wayports, Inc.",2021,,"Utilities, in Early Access",0.0,,0,20000
 SunSenSim,studeii,2021,0.0,"Action, Casual, Indie, Racing",0.0,,20000,50000
 Play The Fox,Quest_Games,2021,0.0,"Action, Free to Play, Indie, Strategy",0.0,,0,20000
 Condors Vs Ocelots,Titanomachy Studios,2021,0.0,"Action, Indie, RPG, Simulation, Strategy, Early Access",0.0,,0,20000
 Eternal Vortex - Beta,Cronux Games,2021,,"Action, Indie, in Early Access",0.0,,0,20000
 TOGUM,Guaiamu Studio,2021,,"Action, Indie, RPG, Early Access",0.0,,0,20000
 Super Dig Man Deluxe,Steam Blade Games,2021,,"Casual, Free to Play, Indie, Simulation",0.0,,0,20000
 Amazing Chicken Adventures ,Piotr Rochala,2021,15.99,"Action, Adventure, Casual, Indie, Early Access",0.0,,0,20000
 Thearchy,Sean Marty,2021,0.0,"Action, Adventure, Casual, Indie, RPG, Simulation",0.0,,0,20000
 The Seasons Collection: Spring,"Rohaan Siddiqui, Dhairya Khara",2021,0.0,"Action, Adventure, Indie",0.0,,0,20000
 Aliens Adventure,AliensGames,2021,,"Adventure, Indie",0.0,,0,20000
 Abandoned Life,"Parmjit Singh, Parul",2021,,"Action, Adventure, Indie, RPG, Early Access",0.0,,0,20000
 After Off War,DAY DAY UP GAME,2021,,"Indie, RPG, Strategy, Early Access",0.0,,0,20000
 Thingamajig,Spatiality LLC,2021,0.0,"Casual, Free to Play, Indie, Simulation, Early Access",0.0,,0,20000
 Retention: A Love Story,"Gavin Looker, Nick Mellott, Alex Runnels, Shawn Lascelles, Lyndell Goldson, Conrad Miller, Josh Finklestein, Liz Hanson, Nick Ciulla, Justin Vaz, Kiane Thomas, Noah Scarborough, Max Weyant, Edward Oliver, Amba Moore, Jingyi Song, Kath",2021,0.0,"Casual, Indie",0.4,10,0,20000
 Gravels of Endless War,Zoltán Kucsik,2021,0.0,"Free to Play, Strategy",0.0,,0,20000
 The Light of Summer,"Mareffy, Mareffy's games",2021,0.0,Adventure,0.0,,0,20000
 Splunk VR,Splunk Inc.,2021,0.0,"Design & Illustration, Education, Utilities",0.0,,0,20000
 KingdomDefense,Peter Lee,2021,0.0,"Action, Casual, Strategy",0.0,,0,20000
 The Tower Of TigerQiuQiu 2,TigerQiuQiu,2021,0.0,"Action, Casual, Indie, Racing, RPG, Simulation, Sports, Strategy",0.0,,0,20000
