Game Name,Developer,Release year,Price,Genres,Review %,Max Reviewers,Minimum Owners,Maximum Owners
Minute of Islands,Studio Fizbin,2021,13.39,"Adventure,Indie",0.85,212,0,20000
They Always Run,Alawar Premium,2021,9.99,"Action,Adventure",0.88,242,0,20000
SLUDGE LIFE,"Terri Vellmann, Doseone",2021,7.49,"Adventure,Indie",0.94,311,0,20000
KeyWe,Stonewheat & Sons,2021,18.74,"Casual,Indie",0.93,307,0,20000
Nebuchadnezzar,Nepos Games,2021,12.99,"Free to Play,Indie,Simulation,Strategy",0.79,823,50000,100000
Bus Simulator 21,stillalive studios,2021,27.99,Simulation,0.67,1226,50000,100000
Idol Manager,Glitch Pitch,2021,15.99,"Indie,Simulation,Strategy",0.89,2151,50000,100000
MechWarrior 5: Mercenaries,Piranha Games Inc.,2021,22.49,"Action,Simulation",0.84,3566,100000,200000
Medieval Dynasty,Render Cube,2021,27.99,"Action,Adventure,RPG,Simulation,in Early Access",0.9,19256,500000,1000000
Gamedec,Anshar Studios,2021,23.99,"Adventure,Indie,RPG",0.84,441,100000,200000
Mundaun,Hidden Fields,2021,11.99,"Action,Adventure,Indie",0.96,552,0,20000
Before We Leave,Balancing Monkey Games,2021,9.99,"Casual,Indie,Simulation,Strategy",0.79,733,20000,50000
Backbone,EggNut,2021,14.99,"Adventure,Indie",0.61,1043,50000,100000
Embr,Muse Games,2021,9.99,"Action,Casual,Indie,Simulation,Strategy,in Early Access",0.88,587,50000,100000
Turnip Boy Commits Tax Evasion,Snoozy Kazoo,2021,8.99,"Action,Adventure,Casual,Indie",0.95,3348,100000,200000
TOHU,Fireart Games,2021,10.04,"Adventure,Indie",0.88,183,0,20000
Viola: The Heroine's Melody,Jelle van Doorne,2021,11.24,"Action,Adventure,Indie,RPG,in Early Access",0.94,39,0,20000
Mutropolis,Pirita Studio,2021,14.99,"Adventure,Casual,Indie",0.91,79,0,20000
Foregone,Big Blue Bubble,2021,4.99,"Action,Adventure,Indie",0.81,427,0,20000
The Sinking City,Frogwares,2021,7.99,"Action,Adventure,RPG",0.7,688,50000,100000
Lake,Gamious,2021,15.99,"Adventure,Indie",0.85,1096,100000,200000
Spellcaster University,Sneaky Yak Studio,2021,19.99,"Simulation,Strategy",0.84,2113,100000,200000
Breathedge,RedRuins Softworks,2021,16.24,"Action,Adventure,Indie,Simulation,in Early Access",0.85,10580,200000,500000
NARAKA: BLADEPOINT,24 Entertainment,2021,13.99,"Action,Adventure,Massively Multiplayer",0.8,73596,5000000,10000000
Boyfriend Dungeon,Kitfox Games,2021,15.99,"Indie,RPG,Simulation",0.9,951,20000,50000
Quantum League,Nimble Giant Entertainment,2021,4.99,"Action,Indie,Sports,Strategy,in Early Access",0.8,1321,200000,500000
Maneater,Tripwire Interactive,2021,19.99,"Action,Adventure,Indie,RPG,in Early Access",0.9,5811,200000,500000
Gas Station Simulator,DRAGO entertainment,2021,15.99,"Indie,Simulation",0.86,9079,200000,500000
New World,Amazon Games,2021,29.99,"Action,Adventure,Massively Multiplayer,RPG",0.69,182886,20000000,50000000
Fire Tonight,Reptoid Games,2021,4.79,Indie,0.8,40,0,20000
Garden Story,Picogram,2021,15.99,"Adventure,Indie,RPG",0.91,373,100000,200000
Dice Legacy,DESTINYbit,2021,11.99,"Indie,Strategy,in Early Access",0.69,583,20000,50000
Sword of the Necromancer,Grimorio of Games,2021,7.49,"Action,Adventure,Indie,RPG",0.76,146,0,20000
The Invisible Hand,Power Struggle Games,2021,7.79,"Indie,Simulation,Strategy",0.79,194,0,20000
Spacebase Startopia,Realmforge Studios,2021,23.99,"Simulation,Strategy",0.62,262,20000,50000
Pecaminosa - A Pixel Noir Game,Cereal Games,2021,10.49,"Action,Indie,RPG",0.45,11,0,20000
Chronicle of Innsmouth: Mountains of Madness,PsychoDev,2021,15.99,Adventure,0.75,36,0,20000
Recompile,Phigames,2021,14.99,"Action,Adventure,Indie",0.74,83,0,20000
Clash of Chefs VR,Flat Hill Games,2021,11.99,"Casual,Indie,Simulation",0.8,85,0,20000
Shattered - Tale of the Forgotten King,Redlock Studio,2021,29.99,"Action,Adventure,Indie,RPG,in Early Access",0.72,395,0,20000
Nanotale - Typing Chronicles,Fishing Cactus,2021,14.99,"Adventure,RPG",0.8,417,20000,50000
NERVE,Gunfish Games,2021,5.99,"Action,Indie,Racing",0.92,39,0,20000
Disjunction,Ape Tribe Games,2021,10.71,"Action,Indie,RPG",0.84,76,50000,100000
Say No! More,Studio Fizbin,2021,8.99,"Casual,Indie",0.92,369,0,20000
BIOMUTANT,Experiment 101,2021,29.99,"Action,RPG",0.68,10308,200000,500000
RetroMania Wrestling,Retrosoft Studios,2021,20.99,"Action,Sports",0.85,167,0,20000
Redout: Space Assault,34BigThings srl,2021,7.49,"Action,Casual,Indie,Simulation",0.4,61,0,20000
Rustler (Grand Theft Horse),Jutsu Games,2021,14.99,"Action,Adventure,Indie,Racing,RPG,in Early Access",0.82,581,20000,50000
